Optimize, Execute
0.008889828, 1.116583623
0.008822943, 1.123130048
execute /home/pei/Project/benchmarks/imdb_job-postgres/QuerySplit/queries_new_settings_Official_subset/15a.sql
0.016112798, 1.111719385
0.016296121, 1.109375300
0.016143115, 1.100780183
0.016265444, 1.112762044
0.016225590, 1.096623328
0.016059980, 1.098108116
0.016110844, 1.093956330
0.016190263, 1.102259271
0.016234085, 1.114003948
0.016176207, 1.100423937
0.016206494, 1.113826115
0.016182750, 1.111138327
0.016193289, 1.101454114
0.016295751, 1.114700431
0.016103070, 1.114911015
execute /home/pei/Project/benchmarks/imdb_job-postgres/QuerySplit/queries_new_settings_Official_subset/15b.sql
0.016396097, 0.136778416
0.014906551, 0.115522678
0.014908566, 0.114954856
0.014922191, 0.115616674
0.014710595, 0.114877431
0.014805592, 0.116154179
0.015004195, 0.115935450
0.014833935, 0.116663883
0.014918725, 0.115555089
0.014776609, 0.116125456
0.014751772, 0.115174739
0.014880213, 0.116466424
0.014582465, 0.114596677
0.014756181, 0.115070312
0.014589809, 0.116042471
execute /home/pei/Project/benchmarks/imdb_job-postgres/QuerySplit/queries_new_settings_Official_subset/15c.sql
0.014604377, 0.946767072
0.016055741, 0.947139899
0.015609417, 0.941951695
0.016092480, 0.949678878
0.015793200, 0.944762782
0.016022820, 0.949904649
0.015866037, 0.942131321
0.016048919, 0.949934707
0.015703282, 0.941506782
0.016031275, 0.948680792
0.015819359, 0.944473131
0.016089675, 0.951049301
0.015828797, 0.944503608
0.015978818, 0.948414513
0.015722227, 0.942640814
execute /home/pei/Project/benchmarks/imdb_job-postgres/QuerySplit/queries_new_settings_Official_subset/15d.sql
0.015833194, 1.180910373
0.015997413, 1.176361724
0.016008464, 1.187816279
0.016095726, 1.175782170
0.016291422, 1.186281459
0.015979999, 1.176303386
0.016180524, 1.183512761
0.016261566, 1.178186607
0.016342528, 1.183611345
0.016206223, 1.175475227
0.016212675, 1.184775061
0.016124219, 1.176735213
0.016326578, 1.183329888
0.016212485, 1.179364511
0.016524819, 1.187297649
execute /home/pei/Project/benchmarks/imdb_job-postgres/QuerySplit/queries_new_settings_Official_subset/16b.sql
0.010072590, 28.727425973
0.009927358, 28.851602107
0.010157539, 28.638690839
0.010053275, 28.658932359
0.009895790, 28.646017884
0.009969286, 28.698025201
0.009960440, 28.741949889
0.010060247, 28.729075538
0.009900949, 28.623787543
0.009930324, 28.621216885
0.009949150, 28.670314870
0.009940332, 28.648237966
0.009900158, 28.680266223
0.009903804, 28.640649833
0.009907772, 28.687234066
execute /home/pei/Project/benchmarks/imdb_job-postgres/QuerySplit/queries_new_settings_Official_subset/16c.sql
0.009792486, 2.543578352
0.009986169, 2.589468818
0.009911169, 2.616750327
0.009779222, 2.606341116
0.009865183, 2.589656458
0.009833343, 2.583915710
0.009847278, 2.596716113
0.009768151, 2.597473369
0.009880892, 2.597330722
0.009834946, 2.601114349
0.009792577, 2.617185540
0.009870372, 2.581942360
0.009900097, 2.597685336
0.009719389, 2.583310438
0.009780695, 2.590585186
execute /home/pei/Project/benchmarks/imdb_job-postgres/QuerySplit/queries_new_settings_Official_subset/16d.sql
0.009928591, 2.065023293
0.009966332, 2.100999885
0.009828824, 2.071834643
0.010000755, 2.095356640
0.009853470, 2.076788950
0.009861185, 2.088337170
0.009803798, 2.070070063
0.009827441, 2.075707527
0.009837962, 2.089239148
0.009876504, 2.000572321
0.009999985, 2.065729214
0.009954830, 2.115676547
0.010114048, 2.073045248
0.009905307, 2.078694294
0.009824807, 2.075789862
execute /home/pei/Project/benchmarks/imdb_job-postgres/QuerySplit/queries_new_settings_Official_subset/18a.sql
0.007186953, 14.386394565
0.007364074, 14.422677621
0.007253628, 14.414839732
0.007368583, 14.399233040
0.007312708, 14.405256195
0.007351190, 14.423246144
0.007447550, 15.367152836
0.007357783, 14.372818874
0.007329029, 14.410640347
0.007358263, 14.422637366
0.007402065, 14.422096434
0.007303741, 14.385028941
0.007336371, 14.404697220
0.007337144, 14.423790271
0.007365066, 14.402337817
execute /home/pei/Project/benchmarks/imdb_job-postgres/QuerySplit/queries_new_settings_Official_subset/18b.sql
0.007418375, 0.531000866
0.007390203, 0.533931037
0.007300245, 0.530027135
0.007304081, 0.527754314
0.007232938, 0.528308299
0.007325682, 0.530588485
0.007260270, 0.529544722
0.007288934, 0.534010815
0.007224654, 0.528410941
0.007402816, 0.532314983
0.007289595, 0.530516419
0.007306136, 0.532003901
0.007227028, 0.530674165
0.007300836, 0.532274918
0.007317397, 0.531524975
execute /home/pei/Project/benchmarks/imdb_job-postgres/QuerySplit/queries_new_settings_Official_subset/18c.sql
0.007079983, 19.084415364
0.007136158, 19.140134894
0.007277502, 19.142875972
0.007162616, 19.118801713
0.007247486, 19.124373885
0.007225856, 19.148969319
0.007055717, 20.111483995
0.007093919, 19.122548790
0.007120679, 20.060323111
0.007059965, 19.941906109
0.007076216, 20.028426662
0.007113355, 19.077664888
0.007153419, 19.147912131
0.007226457, 19.150986361
0.007251774, 19.072167595
execute /home/pei/Project/benchmarks/imdb_job-postgres/QuerySplit/queries_new_settings_Official_subset/1a.sql
0.004627706, 0.016225409
0.003255319, 0.009607020
